Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Employment in Services(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Female Employment in Services(%),Unemployment(%),Female Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Agriculture value added(%),Industry value added(%),Services value added(%),Expense(% of GDP),GDP per capita,GDP growth rate,Foreign Direct Investment,Exports of goods and services,Imports of goods and services,Male life expectancy,Female life expectancy,Inflation rate,Year,Country
1412360000.0,691353011.0,721006989.0,7.52,7.18,9.0,31.6571256947649,23.3895439435814,44.9533303616537,19.658424348093,28.4247414631448,51.9168341887622,4.55,3.953,17820459508852.2,7.32591288935038,-124146789202.935,1290382586162.92,7.24101746939763,39.2907720034165,53.4682105271859,,12617.5051041181,8.44846941687277,344074977062.48,19.9439738307083,17.3580170349289,75.463,81.155,0.981015135544882,2021.0,China
1411100000.0,690313465.0,720786535.0,8.52,7.07,9.0,31.4198867558998,23.5998617642926,44.9802514798076,19.5799038039158,28.5534962642592,51.8666002332416,5.0,4.342,14687744162801.0,-0.0282493857788921,-117605609332.992,1130756919426.49,7.69864253416333,37.8428217198988,54.4585357459379,,10408.7195541075,2.23863835634639,253095616058.58,18.5861391981332,16.1681565014734,75.305,81.058,2.41942189457782,2020.0,China
1407745000.0,688332681.0,719412319.0,10.41,7.09,9.0,30.817612985634,24.7219896417516,44.4603972390753,20.6937309577592,28.1320672984022,51.1742020389376,4.56,3.961,14279968506271.7,3.86055992004964,-40009347076.0532,1020116721824.28,7.1436902775818,38.5874054560514,54.2689042663668,,10143.8602206165,5.95050075367413,187169822364.755,18.4099923154801,17.4801037187624,75.298,80.816,2.89923416358227,2019.0,China
1402760000.0,685660839.0,717099161.0,10.86,7.08,9.0,30.4205634780259,25.7514969232104,43.8279395987636,21.7521583556177,27.9410857288076,50.306755621071,4.31,3.743,13894907857880.6,3.61993293776672,-61029343902.9304,978621174593.487,7.04302025319625,39.6870118233885,53.2699679234152,,9905.40638304527,6.7497738324959,235365050036.341,19.1121035364139,18.4536805657234,75.046,80.637,2.07479039965576,2018.0,China
1396215000.0,682205710.0,714009290.0,12.64,7.06,9.0,30.006801239174,26.6835824139394,43.3096163468866,22.6331286930306,27.7719331125328,49.5949381944366,4.47,3.881,12310491333980.9,6.37287195648632,-16130912009.6823,918801524570.724,7.46356501656873,39.8516984491913,52.6847365342399,,8817.04560829162,6.94720079331685,166083755721.649,19.6922769882201,17.9401362522062,74.433,80.321,1.59313600071436,2017.0,China
1387790000.0,677886142.0,709903858.0,13.57,7.04,9.0,29.6478206477479,27.4221255696103,42.9300536500257,23.2848287975948,27.6677522409515,49.047419256179,4.56,3.958,11233313730348.7,6.75727669434696,-55700475327.031,905100386922.795,8.0572875346436,39.5806215022693,52.3620909629531,,8094.39016735149,6.84876220495761,174749584584.051,19.5843800536482,17.3100349634307,74.582,80.053,2.00000182191943,2016.0,China
1379860000.0,673894521.0,705965479.0,11.99,7.07,9.0,29.2998150635927,28.3004732191972,42.3997117172101,24.1277325013672,27.5631327249257,48.3091347737071,4.65,4.036,11061572618578.7,6.60690321016257,-52782101421.6163,927735741725.116,8.38701488219603,40.8413399694664,50.7716451484828,,8016.44559489998,7.04132887873656,242489331627.399,21.3540798828848,18.110089452417,74.379,79.772,1.43702380935655,2015.0,China
1371860000.0,669912632.0,701947368.0,13.83,7.12,9.0,29.9004567248528,29.5004719164457,40.5990713587015,25.3241828044544,28.5418907325438,46.1339264630018,4.63,4.018,10475624944355.2,7.65655683997231,13299522237.8885,905459740773.646,8.64349139629661,43.0855681093574,48.270940494346,,7636.07434020616,7.42576365632412,268097181064.335,23.5100609074235,21.3951550469261,74.134,79.499,1.92164162788521,2014.0,China
1363240000.0,665670016.0,697569984.0,13.03,7.13,9.0,30.0998998646846,31.4002878296904,38.499812305625,27.3266855536826,29.057992084894,43.6153220646118,4.6,3.991,9570471111831.68,5.05194953401198,-77827738898.13,855877083223.715,8.94289396230057,44.1767045363398,46.8804015015283,,7020.3860742288,7.76615009773009,290928431467.003,24.599254436897,22.1451211404583,73.884,79.223,2.62105001748115,2013.0,China
1354190000.0,661251570.0,692938430.0,14.57,7.13,9.0,30.299593102714,33.600594069298,36.099812827988,29.6936489429007,29.5766723486633,40.729678708436,4.58,3.973,8532185381680.59,9.44772001337691,-19817485405.1584,777598962570.574,9.11371387030751,45.4229807420935,45.463305387599,,6300.58217951734,7.86373644862111,241213868161.42,25.4925222245396,22.7750001428637,73.613,78.983,2.61952432645541,2012.0,China
